发布日期,投放截止,状态,进展,作者昵称,标题,链接,笔记ID,一级分类,二级分类,投放记录,投前互动量,投后互动量,投放后点赞量,投放后收藏量,投放后评论量,总互动量,总投放金额,总CPE,备注
2026-03-22 00:00:00,2026-03-29 00:00:00,停投,,,女生打车刚需：优先女司机,https://www.xiaohongshu.com/explore/69bea7b60000000022000a56?xsec_token=ABwo9qQXRpr8gwjGe71zKGiIbZTXCC3jsJzYLpGUVfWqU=,69bea7b60000000022000a56,产品力,女性友好计划,3.23投放199.63元,0,112,,,,101,199.63,1.98,
2026-03-23 00:00:00,2026-03-30 00:00:00,停投,,,不想再打到臭车？快去打开🚗女性友好模式,https://www.xiaohongshu.com/explore/69bf60530000000028008789?xsec_token=ABPOYeXkqi8W0XzpKpSvnlc8_DUDXpKtJIVGp7EPV1k3k=,69bf60530000000028008789,产品力,女性友好计划,"3.23投放29.73元
3.24投放132.30元
3.25投放36.72元",4,106,,,,108,198.75,1.84,
2026-03-22 00:00:00,2026-03-29 00:00:00,停投,,,滴滴可以选女司机了！,https://www.xiaohongshu.com/explore/69c00ef00000000023024dd2?xsec_token=AB5J6D-5Z2lrH4vToiJjqGe12agNkuVAzyVlUHOHgY1vI=,69c00ef00000000023024dd2,产品力,女性友好计划,3.23投放204.28元,4,119,,,,119,204.28,1.72,
2026-03-23 00:00:00,2026-03-30 00:00:00,停投,,,这就是滴滴特快的速度！👍,https://www.xiaohongshu.com/explore/69c015000000000023015743?xsec_token=AB5J6D-5Z2lrH4vToiJjqGexDIEVUrPyA0PmM5NK230dQ=,69c015000000000023015743,产品力,叫车快,3.23投放204.36元,2,115,,,,110,204.36,1.86,
2026-03-24 00:00:00,2026-03-31 00:00:00,停投,,,滴滴这个AI叫车PM出来挨夸,https://www.xiaohongshu.com/explore/69c203f7000000002102fd4f?xsec_token=ABqcgmRylZh1W59G1mu8qab42ivyejOGRLcUJ0quwfVl8=,69c203f7000000002102fd4f,产品力,AI叫车/AI小滴,"3.24投放61.15元
3.25投放142.03元",1,109,,,,103,203.18,1.97,
2026-03-25 00:00:00,2026-04-01 00:00:00,停投,,,感谢滴滴打车😘,https://www.xiaohongshu.com/explore/69c33b140000000021004e52?xsec_token=ABdpONJOjt_de_peMQG2PK03LflFSQyqpNIkh1iKCxZOs=,69c33b140000000021004e52,司机,司机服务,"3.25投放16.16元
3.26投放13.50元
3.27投放8.69元
3.28投放24.19元",2,29,,,,26,62.54,2.41,
2026-03-25 00:00:00,2026-04-01 00:00:00,停投,,,凌晨三点，被一束温暖的光接走了🌟,https://www.xiaohongshu.com/explore/69c3c7bf0000000022027d94?xsec_token=ABdpONJOjt_de_peMQG2PK04P2ZS2XxO8KgAIcCQqSi-s=,69c3c7bf0000000022027d94,司机,司乘温暖,3.27投放203.38元,4,108,,,,119,203.41,1.71,
2026-03-29 00:00:00,2026-04-05 00:00:00,停投,,,爱死滴滴的女性友好订单了,https://www.xiaohongshu.com/explore/69c9282a0000000021038b68?xsec_token=ABO0Y-_R8pz7wpNyVv3Mbex17pVNR8OgiO1jDl24wqWkY=,69c9282a0000000021038b68,产品力,女性友好计划,3.30投放173.60元,108,94,,,,246,173.6,0.71,
2026-03-28 00:00:00,2026-04-04 00:00:00,停投,,,昆明到大理，站点巴士超方便！,https://www.xiaohongshu.com/explore/69c7829a00000000230244d5?app_platform=android&ignoreEngage=true&app_version=9.20.0&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBCwtZZ2dohOrf7XFciMfj1scdOINORWe1MuP6MIJ0XI8=&author_share=1&shareRedId=N0pFMjk6SkI2NzUyOTgwNjY0OTc6NTc8&apptime=1774845901&share_id=a4a14dd6bd7349be877fe658158a995b&share_channel=copy_link&appuid=5dc265f90000000001006013&xhsshare=CopyLink,69c7829a00000000230244d5,产品力,站点巴士,"3.31投放34.74元
4.01投放46.15元
4.02投放114.55元",8,106,,,,126,195.44,1.55,
2026-04-02 00:00:00,2026-04-09 00:00:00,停投,,呼呼再也不睡懒觉,被宠物治愈的瞬间,https://www.xiaohongshu.com/explore/69cdd2910000000023011fd6?xsec_token=ABMZD-8KEsL9pDypjf5pvIR5OGffRJ6NNI9LFtF7k-3Hs=,69cdd2910000000023011fd6,产品力,宠物出行,4.02投放236.43元,4,144,137,3,3,148,236.43,1.6,
2026-04-03 00:00:00,2026-04-10 00:00:00,停投,,美食部书记,滴滴打车可以打公交车啊🚌只要三块！,https://www.xiaohongshu.com/explore/69d091da000000001b001175?app_platform=android&ignoreEngage=true&app_version=9.20.0&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBwobPjDPmOOxyIAxfE9zk4PKG3AVKxgxu8tsekq8vqsk=&author_share=1&shareRedId=N0pFMjk6SkI2NzUyOTgwNjY0OTc6NTc8&apptime=1775531987&share_id=90c15ce089e04ad3b6946fd47e53ce0b&share_channel=copy_link&appuid=5dc265f90000000001006013&xhsshare=CopyLink,69d091da000000001b001175,产品力,网约公交,4.08投放203.37元,0,116,98,9,3,103,236.43,2.3,
2026-04-09 00:00:00,2026-04-16 00:00:00,停投,,娜娜娜子,今天出门玩突然下起大暴雨，完全没带伞，我和狗狗浑身都被淋透了想赶紧打车回家，就在滴滴上叫了宠物专车。,https://www.xiaohongshu.com/explore/69d7a3a5000000001a035581?xsec_token=AB1z-5upmiYZZWKsX2hTW9yiKgDAzVO-hZP-IKceaH0NM=,69d7a3a5000000001a035581,产品力,宠物出行,4.10投放210.00元,70,136,134,1,1,221,210,0.95,
2026-04-13 00:00:00,2026-04-20 00:00:00,停投,,小满的生活体验日记📕,新体验｜女性友好快车&纵向卧铺列车,https://www.xiaohongshu.com/explore/69dbd67c000000001a02680a?xsec_token=ABRRV5w5Q5q-uQYh7gVRPmMlKrIdBgrD2zh3OOQ0jS2jw=,69dbd67c000000001a02680a,产品力,女性友好计划,4.14投放201.70元,2,114,108,5,1,117,201.7,1.72,
2026-04-13 00:00:00,2026-04-20 00:00:00,停投,,是肉肉呀,第一次坐宠物专车，体验感太好了！！,https://www.xiaohongshu.com/explore/69dc59ef000000001a028bbf?xsec_token=ABuHm2VVL9If9tOenMXINt-dGcQNs9dh4qNYrOXU8rKtE=,69dc59ef000000001a028bbf,产品力,宠物出行,4.13投放202.27元,10,118,117,1,0,163,202.27,1.24,
2026-04-11 00:00:00,2026-04-18 00:00:00,停投,,我气饱了,含金量超高的埃及🇪🇬打车攻略,https://www.xiaohongshu.com/explore/69d8d3910000000022000919?xsec_token=ABfvdJ9NapNLuQ9Q2UxTyFI1feepV_rya-HMDUmNdqhOQ=&xsec_source=pc_search&source=web_explore_feed,69d8d3910000000022000919,产品力,海外打车,"4.13投放41.91元
4.14投放59.45元
4.15投放61.38元",249,77,31,37,1,336,162.74,0.48,
2026-04-17 00:00:00,2026-04-24 00:00:00,停投,,轻松盐焗熊,打到一辆很可爱的车,https://www.xiaohongshu.com/explore/69e1a0b6000000001d01f65d?xsec_token=ABPf6W9nl4PIWVJH6gXwtswfhb9kZDmVecBUgWSVU8Xf0=,69e1a0b6000000001d01f65d,车内,特殊车型/车衣,4.17投放205.57元,9,118,111,4,2,135,205.57,1.52,
2026-04-18 00:00:00,2026-04-25 00:00:00,停投,,西梁好,【测评】滴滴巴士测评来啦！,https://www.xiaohongshu.com/explore/69e2247a00000000230040e2?app_platform=android&ignoreEngage=true&app_version=9.20.0&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBbKDpEiz_PRvS2Fqzks4qNzaYtV4MqK3pHPhMvd525jI=&author_share=1&shareRedId=N0pFMjk6SkI2NzUyOTgwNjY0OTc6NTc8&apptime=1776654411&share_id=5428cb9baa8d4624bbdf79c60a222aaf&share_channel=copy_link&appuid=5dc265f90000000001006013&xhsshare=CopyLink,69e2247a00000000230040e2,产品力,站点巴士,"4.20投放5.29元
4.21投放2.23元
4.22投放29.09元
4.23投放37.40元",136,29,21,3,1,183,74.01,0.4,
2026-04-18 00:00:00,2026-04-25 00:00:00,停投,,苏哥 suger,版纳限定｜雨林之心号发车🚌,https://www.xiaohongshu.com/explore/69e1fb3c000000001f003ee2?app_platform=android&ignoreEngage=true&app_version=9.20.0&share_from_user_hidden=true&xsec_source=app_share&type=video&xsec_token=CBilX6zXNpx51SRhsKlSyFdgyKWDYudIm2nTvD4l4zDqE=&author_share=1&shareRedId=N0pFMjk6SkI2NzUyOTgwNjY0OTc6NTc8&apptime=1776654790&share_id=38940b306b664ff68ae2b95c21bd13ff&share_channel=copy_link&appuid=5dc265f90000000001006013&xhsshare=CopyLink,69e1fb3c000000001f003ee2,产品力,站点巴士,"4.20投放60.01元
4.21投放30.95元
4.22投放47.24元
4.23投放0.26元",5,70,52,12,0,67,138.46,2.07,
2026-04-20 00:00:00,2026-04-27 00:00:00,停投,,霍昕,天津空港 意外解锁网约公交🚍,https://www.xiaohongshu.com/explore/69e5966d0000000023020ddd?app_platform=android&ignoreEngage=true&app_version=9.20.0&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CB457ZQweTEy3aa2D2MPSgOZzfBvMYPkQMLeFjn-ff4w0=&author_share=1&shareRedId=N0pFMjk6SkI2NzUyOTgwNjY0OTc6NTc8&apptime=1776654915&share_id=296ae3d2a136451aa783884d884f34af&share_channel=copy_link&appuid=5dc265f90000000001006013&xhsshare=CopyLink,69e5966d0000000023020ddd,产品力,网约公交,"4.20投放2.21元
4.21投放3.66元
4.22投放0.49元
4.23投放4.53元",0,12,12,0,0,15,10.89,0.73,
2026-04-21 00:00:00,2026-04-28 00:00:00,停投,,慕容柠次,在版纳坐了很有意思的雨林巴士,https://www.xiaohongshu.com/explore/69e6ce3c000000001d018677?xsec_token=ABmBcRQSHJbWmv0ZhzZw_7TAk7RdhI4o1VDr4LEQ9bHuc=,69e6ce3c000000001d018677,产品力,站点巴士,"4.21投放12.08元
4.22投放3.24元
4.23投放2.84元",5,3,2,0,0,7,18.16,2.59,
2026-04-22 00:00:00,2026-04-29 00:00:00,停投,,望,超绝滴滴痛车,https://www.xiaohongshu.com/explore/69e859460000000023012e5e?xsec_token=ABTnCOUc1TmnbS_OCkgjb5Np0N-Fjuiup6J70odmH2aA4=&xsec_source=pc_search&source=web_search_result_notes,69e859460000000023012e5e,车内,特殊车型/车衣,4.23投放201.41元,2,110,108,1,1,113,201.41,1.78,
2026-04-23 00:00:00,2026-04-30 00:00:00,停投,,龙吟,今天打车遇到一位女司机，想记下来,https://www.xiaohongshu.com/explore/69e988a5000000002103a1f4?xsec_token=ABWB215s-u3NEqombf2qmEuBFDdUcCixAIiv3ifWH7D-w=,69e988a5000000002103a1f4,司机,女司机,4.25投放200.45元,12,125,120,0,5,130,200.45,1.54,
2026-04-27 00:00:00,2026-05-04 00:00:00,停投,,一颗山药🌟,下沙滴滴小巴,https://www.xiaohongshu.com/explore/69eead98000000001a02f119?app_platform=android&ignoreEngage=true&app_version=9.20.0&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBRsy7PkwLVAW1VQTzgvHSh5kZ8hSx017BydV2JDs7-3U=&author_share=1&shareRedId=N0pFMjk6SkI2NzUyOTgwNjY0OTc6NTc8&apptime=1777268627&share_id=fddd04bae8d944c3b1f8268f844fb00e&share_channel=copy_link&appuid=5dc265f90000000001006013&xhsshare=CopyLink,69eead98000000001a02f119,产品力,滴滴小巴,"4.27投放135.84元
4.28投放55.42元",2,101,94,3,0,195,191.26,0.98,
2026-04-23 00:00:00,2026-04-30 00:00:00,停投,,佐伊🍭,雨林之心号💚仿佛踏上了星露谷痛车～,https://www.xiaohongshu.com/explore/69e94c89000000001a02ca10?app_platform=android&ignoreEngage=true&app_version=9.20.0&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CB85MM-rOkh6ubyxzyIZG3y_vP04Ffg-dEgxAzJ6JSFds=&author_share=1&shareRedId=N0pFMjk6SkI2NzUyOTgwNjY0OTc6NTc8&apptime=1777269156&share_id=fade4c07664f4b3f8d0f67b8ecfeb984&share_channel=copy_link&appuid=5dc265f90000000001006013&xhsshare=CopyLink,69e94c89000000001a02ca10,产品力,站点巴士,"4.28投放20.40元
4.29投放163.39元",26,96,75,9,1,106,183.79,1.73,作者粉丝数超过1000，分成比例不能低于 3%
2026-04-26 00:00:00,2026-05-03 00:00:00,停投,,三二一的王（减肥版）,被常熟的网约公交车控制了,https://www.xiaohongshu.com/explore/69eb2894000000001f030c01?app_platform=android&ignoreEngage=true&app_version=9.20.0&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBRBODJwCf7Xkki9Lrwoz6RLHbhu-cpyedGL_6nq9mOys=&author_share=1&shareRedId=N0pFMjk6SkI2NzUyOTgwNjY0OTc6NTc8&apptime=1777269210&share_id=2127a0fe368645b0ae91df0b08af4228&share_channel=copy_link&appuid=5dc265f90000000001006013&xhsshare=CopyLink,69eb2894000000001f030c01,产品力,网约公交,"4.27投放203.35元
4.28投放202.09元",124,215,198,15,0,340,405.44,1.19,
2026-04-25 00:00:00,2026-05-02 00:00:00,停投,,爱跳舞的怡然律师,滴滴这波可以啊，香薰片美貌满分,https://www.xiaohongshu.com/explore/69ec55f5000000003603382f?xsec_token=ABF3QwLT3B5t2ye6BO79HB5afO5ePClHxFbe5I4GIzXCI=,69ec55f5000000003603382f,车内,香卡,4.27投放192.89元,4,99,89,9,1,100,192.89,1.93,
2026-04-28 00:00:00,2026-05-05 00:00:00,在投,,木立雨,司机递给我一颗话梅,https://www.xiaohongshu.com/explore/69ef91b1000000002300564b?xsec_token=ABZgdCG38m42mQ1vgh4gAZk2fUZI96wuDPgk9xMqwSSV4=,69ef91b1000000002300564b,司机,司乘温暖,4.30投放200元,44,228,180,0,4,184,200,1.09,
2026-04-27 00:00:00,2026-05-04 00:00:00,停投,,月悸,下雨天没带伞，女司机把车停在我头顶,https://www.xiaohongshu.com/explore/69ef76e8000000003601943f?xsec_token=ABZgdCG38m42mQ1vgh4gAZk-5YMxdg89uNnxoQxzmb3vQ=,69ef76e8000000003601943f,司机,女司机,4.29投放202.96元,191,121,112,4,1,2437,202.96,0.08,
2026-04-28 00:00:00,2026-05-05 00:00:00,在投,,你睡着了吗,我去第一次打滴滴小巴,https://www.xiaohongshu.com/explore/69f05157000000003700c60a?app_platform=ios&app_version=9.28&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBqoLGDKtx1pp2rAm9-jYEuZCP5mGekjpkHk6ro61eqgg=&author_share=1&xhsshare=CopyLink&shareRedId=N0dDN0hINkI6TEZFSkoyPz41SjlJSEg9&apptime=1777360718&share_id=e0df64a71ec64a6f853070d5c652244b,69f05157000000003700c60a,产品力,滴滴小巴,4.30投放200元,3,204,192,4,5,201,200,1,
2026-04-28 00:00:00,2026-05-05 00:00:00,在投,,睡觉吧睡觉吧,谢谢女司机们,https://www.xiaohongshu.com/explore/69f0a3e00000000022026d02?xsec_token=ABXzGd9O_x_RzY4Gkhs8M2tvUOJY7yXuVikDe4NwndPog=,69f0a3e00000000022026d02,司机,女司机,4.30投放200元,7,212,204,1,0,205,200,0.98,
2026-04-29 00:00:00,2026-05-06 00:00:00,在投,,爱吃凉拌杂蔬,她没说话,https://www.xiaohongshu.com/explore/69f163390000000038023c04?xsec_token=ABLNcebe4EqMClPt2SyxgvoJrpZxF6h3B7Tca2NNCHN4g=,69f163390000000038023c04,司机,司乘温暖,4.30投放200元,96,666,541,1,28,570,200,0.35,1. 笔记作者为开店账号，暂无法使用 ； 2. 笔记非公开可见，暂无法使用
2026-04-29 00:00:00,2026-05-06 00:00:00,在投,,岁岁平安,合肥打特惠/快车能打到问界m7和特斯拉,https://www.xiaohongshu.com/explore/69f194d5000000002301de8a?xsec_token=ABmbFepnQx-jFoEzvEhhzqxCMKi4KHHLcOP5v35xgvWN4=,69f194d5000000002301de8a,产品力,专车/豪华车,4.30投放200元,2,6,2,1,1,4,200,50,
2026-04-29 00:00:00,2026-05-06 00:00:00,在投,,ENDLESS RAIN,当春天来临，要记得出门去,https://www.xiaohongshu.com/explore/69f17a30000000003502d8da?xsec_token=ABmbFepnQx-jFoEzvEhhzqxNRpCCA7k8sUY3_88LcNzEc=,69f17a30000000003502d8da,地广/活动,品牌,4.30投放200元,34,158,111,13,0,124,200,1.61,1. 笔记作者粉丝数超过10000，暂无法使用 ； 2. 笔记为蒲公英笔记，暂无法使用
2026-04-29 00:00:00,2026-05-06 00:00:00,在投,,懒羊羊大王不怕困难,下沙雨天新晋宠儿~滴滴小巴,https://www.xiaohongshu.com/explore/69f1c29d0000000023005a50?app_platform=ios&app_version=9.28&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBg2gaKUnCxg2ud8iQCl-jr45B4wRjJaReZTBWhc6ZI6I=&author_share=1&xhsshare=WeixinSession&shareRedId=ODY6NTk5Nzs2NzUyOTgwNjY0OTc8OTxC&apptime=1777472867&share_id=df9fcb8ddf8e446c9a5118d8d3317c00&code=2G20cXCQnOy,69f1c29d0000000023005a50,产品力,滴滴小巴,4.30投放200元,8,24,14,0,2,16,200,12.5,
2026-04-30 00:00:00,2026-05-07 00:00:00,在投,,呼呼再也不睡懒觉,毕业搬家带猫，第一次用宠物出行就真香了 大,https://www.xiaohongshu.com/explore/69f2ecd80000000036000e40?xsec_token=ABetYAHOhY16yiR5a2fqXNDsPWuXDXNybg9Meg3UygIVM=,69f2ecd80000000036000e40,产品力,宠物出行,4.30投放200元,0,114,108,1,5,114,200,1.75,
2026-04-30 00:00:00,2026-05-07 00:00:00,在投,,可恶又打喷嚏,女司机的车，是i人的天,https://www.xiaohongshu.com/explore/69f29fb3000000001a037e6b?xsec_token=ABlefarLtJ7O9GeX5GD5VUCzNb_Uj8Vqjkp92xc6p8OSI=,69f29fb3000000001a037e6b,司机,女司机,4.30投放200元,18,200,182,0,0,182,200,1.1,
2026-04-29 00:00:00,2026-05-06 00:00:00,在投,,煎饼狗子,今天看展路上的小确幸,https://www.xiaohongshu.com/explore/69f1d8fe000000003503860e?xsec_token=ABh4kH9hXYWMgFpRFZgOeKrx-PZs9UmB28fGWl6lOwtHU=,69f1d8fe000000003503860e,司机,司乘温暖,4.30投放200元,0,16,16,0,0,16,200,12.5,
2026-04-29 00:00:00,2026-05-06 00:00:00,在投,,真忘私绵,打了上百次DD专车，臭车几率是？,https://www.xiaohongshu.com/explore/69f19283000000003503b16f?xsec_token=ABh4kH9hXYWMgFpRFZgOeKr8kel0HHoTQxzsZVTsJZLAo=,69f19283000000003503b16f,产品力,专车/豪华车,4.30投放200元,35,95,47,3,10,60,200,3.33,
2026-04-29 00:00:00,2026-05-06 00:00:00,在投,,旅行的皮神,“每次花开🌸都值得一次出发”,https://www.xiaohongshu.com/explore/69f1b5c4000000003502cfd0?xsec_token=ABh4kH9hXYWMgFpRFZgOeKr3nDPNLrQBCZ3Y-2WjHeTck=,69f1b5c4000000003502cfd0,地广/活动,品牌,4.30投放200元,414,575,133,25,3,161,200,1.24,
2026-05-05 00:00:00,2026-05-12 00:00:00,在投,,路,优先女司机,https://www.xiaohongshu.com/explore/69f9fede0000000036001eb0?xsec_token=ABXpClgvyZnrSy5ahzs9wzetu_zEFUA_9CYj7xk9dk_iA=,69f9fede0000000036001eb0,产品力,女性友好计划,,35,317,254,1,27,282,214.54,0.76,
2026-05-05 00:00:00,2026-05-12 00:00:00,在投,,纯情丫头火辣辣之性感母蟑螂,这两天天气好经常带我的小狗去附近的公园玩，,https://www.xiaohongshu.com/explore/69f9d0d5000000003601a3f1?xsec_token=ABa01KIw3FNSCIsTS2LPTf6ZnSPxmuZqMjQP15XiIMumA=,69f9d0d5000000003601a3f1,产品力,宠物出行,,5,108,99,1,3,103,200,1.94,
2026-05-01 00:00:00,2026-05-08 00:00:00,停投,,路灯很亮,洛阳把尊重刻在骨子里了！,https://www.xiaohongshu.com/explore/69f2f64d000000002202410c?app_platform=ios&app_version=9.23&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBBV9_vzbj_FXbJ_j67LntrsyjW4OxBrPaT5RMvpK-lIw=&author_share=1&xhsshare=CopyLink&shareRedId=ODY0NzU8Rzo2NzUyOTgwNjY0OThIN0lA&apptime=1778036727&share_id=c7a1f6846c00444d8a5fcdbf6f3744df,69f2f64d000000002202410c,司机,司机服务,,3679,3732,46,5,2,53,25.3,0.48,平台卡审终止
2026-05-01 00:00:00,2026-05-08 00:00:00,在投,,岁岁常安,出发吧 去往你想要的生活！,https://www.xiaohongshu.com/explore/69f1e8ef000000001e00cc08?note_flow_source=wechat&xsec_token=CB8RFidiOHx448pSCWzbm3uUoSBFRPNp8Df9NjnF-0CM4=,69f1e8ef000000001e00cc08,地广/活动,品牌,,1359,1364,2,1,2,5,200,40,
2026-05-04 00:00:00,2026-05-11 00:00:00,在投,,zizi,哈尔滨旅行状态：只哈哈 不喊累😂,https://www.xiaohongshu.com/explore/69f6f7160000000035032d5a?note_flow_source=wechat&xsec_token=CBI1UWmWTbRhl4rxrQu1WE8SosxLoRvzg3arIhEyKPYL4=,69f6f7160000000035032d5a,场景,旅游出行,,1332,1339,6,1,0,7,179.57,25.65,时间到未消耗完
2026-05-07 00:00:00,2026-05-14 00:00:00,在投,,自由散漫顾小可,一份来自陌生滴滴师傅的善意,https://www.xiaohongshu.com/explore/69fb8678000000003503053f?xsec_token=ABelO7dPqxWwMbHBMg1xlMAIqZ6Ub9LcPBZ9rP9eRY2HI=,69fb8678000000003503053f,司机,司乘温暖,,1,32,29,0,2,31,200,6.45,
2026-05-06 00:00:00,2026-05-13 00:00:00,在投,,nono,当女性力量不再单一,https://www.xiaohongshu.com/explore/69fb226a00000000350207ff?xsec_token=ABelO7dPqxWwMbHBMg1xlMAEGTvMgcK3FdXgvdXSp_L80=,69fb226a00000000350207ff,产品力,女性友好计划,,19,799,768,5,7,780,400,0.51,
2026-05-06 00:00:00,2026-05-13 00:00:00,在投,,Ms戴满世界浪,坐上了一辆整洁又贴心的滴滴,https://www.xiaohongshu.com/explore/69fc0ddb000000001f005a56?xsec_token=ABcsHLT2IdhyDi6N_CLnT_R8sSTrsaAX_qNGmqfsKQqq8=&xsec_source=pc_search&source=web_search_result_notes,69fc0ddb000000001f005a56,车内,车内整洁,,4,60,52,0,4,56,200,3.57,
2026-05-06 00:00:00,2026-05-13 00:00:00,在投,,Toby,滴滴🚌宝宝巴士进站咯～📢,https://www.xiaohongshu.com/explore/69fb34d0000000003703435a?xsec_token=ABARK6t9lwvGdzCFjVrffVdgqwyb1B3wbS-uqEQn8QZmE=,69fb34d0000000003703435a,产品力,滴滴小巴,,30,58,17,10,1,28,200,7.14,
2026-05-07 00:00:00,2026-05-14 00:00:00,在投,,小红薯69DD39E5,教了三次学不会打车，换语音一次就记住了,https://www.xiaohongshu.com/explore/69fc2d28000000002003a003?xsec_token=ABwPYmqoMR6qCxnABY9tKfBXJ98AlN9BYjFmm7jjFXZHE=,69fc2d28000000002003a003,产品力,AI叫车/AI小滴,,6,7,1,0,0,1,200,200,
2026-05-06 00:00:00,2026-05-13 00:00:00,在投,,张煊野,🚗沉浸式下班｜你那边的天蓝么？,https://www.xiaohongshu.com/explore/69fa2dbd00000000360197a1?xsec_token=ABb9AmBAYzWHkEWhQuDzCy0R8llkPCrq9q8BHZwFn3sA4=,69fa2dbd00000000360197a1,场景,通勤上下班,,14,67,31,5,17,53,200,3.77,
2026-05-07 00:00:00,2026-05-14 00:00:00,在投,,不熬夜睡好觉,滴滴打车碰到最细心周到的师傅,https://www.xiaohongshu.com/explore/69fc838f0000000035039774?xsec_token=ABBtRwVR8gpszCBfbW9B5RgdOPvIaKdFdsDFAzyoA7ds4=,69fc838f0000000035039774,司机,司机服务,,6,137,128,0,3,131,200,1.53,
2026-05-07 00:00:00,2026-05-14 00:00:00,在投,,原点,刚搬新家，带着两只猫和一只狗,https://www.xiaohongshu.com/explore/69fcae64000000001a02cfdc?xsec_token=ABBtRwVR8gpszCBfbW9B5RgYaEC41EyjHY2KGY0I1izz8=,69fcae64000000001a02cfdc,产品力,宠物出行,,0,8,8,0,0,8,200,25,
2026-05-07 00:00:00,2026-05-14 00:00:00,在投,,豆豆九段,下沙滴滴小巴给到一个夯,https://www.xiaohongshu.com/explore/69fc65f90000000022028b6c?app_platform=ios&app_version=9.28.1&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBAxrSWo8Hhf4veuCxUrwqpC0T6aWsI46v29AvU_0nATA=&author_share=1&xhsshare=CopyLink&shareRedId=N0dDN0hINkI6TEZFSkoyPz41SjlJSEg9&apptime=1778211149&share_id=649545e6b4c74bc3b79f908fac0a7947,69fc65f90000000022028b6c,产品力,滴滴小巴,,28,210,160,18,4,182,200,1.1,
2026-05-06 00:00:00,2026-05-13 00:00:00,在投,,豆芽,下沙谁还没坐这个三块钱的商务座,https://www.xiaohongshu.com/explore/69f8702a000000001b021637?app_platform=ios&app_version=9.28.1&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CB2UKSax5DF2QA_I7rhNuoqUlhNkevLLDd7iEEZWVmZ7U=&author_share=1&xhsshare=CopyLink&shareRedId=N0dDN0hINkI6TEZFSkoyPz41SjlJSEg9&apptime=1778211176&share_id=af6a6d5c0f8b459abce45f5a54064a24,69f8702a000000001b021637,产品力,滴滴小巴,,5,24,18,0,1,19,169.69,8.93,
2026-05-06 00:00:00,2026-05-13 00:00:00,在投,,小小闯江湖,滴滴小巴都出了吗，那是不是以后大家伙出去玩可以一辆车坐下，不用再分别打好几辆车了哈哈哈,https://www.xiaohongshu.com/explore/69fab3fd000000003501edf9?app_platform=ios&app_version=9.28.1&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBPZ69__HQk7Q8Y-E8hjtw2iJs_hWjBOFCxxjj36RENAc=&author_share=1&xhsshare=CopyLink&shareRedId=N0dDN0hINkI6TEZFSkoyPz41SjlJSEg9&apptime=1778211219&share_id=0fd8efd77d084114a3cdd4ddb5970ffc,69fab3fd000000003501edf9,产品力,滴滴小巴,,4,8,4,0,0,4,200,50,
2026-05-08 00:00:00,2026-05-15 00:00:00,在投,,一颗屁桃,她的周四，在盛开热带雨林的云南巴士、摘蘑菇,https://www.xiaohongshu.com/explore/69fc798c000000003502a9d8?xsec_token=ABcsHLT2IdhyDi6N_CLnT_R8DhhUAlroRDer_EtK6e-TU=,69fc798c000000003502a9d8,产品力,站点巴士,,163,189,22,4,0,26,200,7.69,
2026-05-08 00:00:00,2026-05-15 00:00:00,在投,,补药让我加班,司机姐姐说这个功能让她们更自觉,https://www.xiaohongshu.com/explore/69fde0030000000035023490?xsec_token=ABNbFDvmT2gE-NxXGweO_FYI6uipgsb69YYyq6uLnaHi0=&exSource=https://my.feishu.cn/,69fde0030000000035023490,产品力,女性友好计划,,354,3312,2851,6,101,2958,800,0.27,
2026-05-09 00:00:00,2026-05-16 00:00:00,在投,,可恶又打喷嚏,打到“侠女”的车了！！,https://www.xiaohongshu.com/explore/69fe7e640000000023017177?xsec_token=AB7ukW7fajRnxFsjbDV6X4qNCdWkxaxQYO2sfNVQYaPQI=,69fe7e640000000023017177,司机,女司机,,50,1169,1077,25,17,1119,800,0.71,
2026-05-11 00:00:00,2026-05-18 00:00:00,在投,,HuiHui慢生活,哈哈哈第一次打车打到装饰这么隆重的士🚕,https://www.xiaohongshu.com/explore/6a011d41000000000702031a?xsec_token=ABMDY_ifAXf43glQ4iD8PYNQ5y3nGwbGTzhVuJCHwfsc4=,6a011d41000000000702031a,车内,特殊车型/车衣,,3,15,11,1,0,12,200,16.67,
